arg_1,arg_2,acc
8,23,0.5701
8,22,0.5701
8,21,0.5701
8,20,0.5701
8,19,0.5701
8,18,0.5701
8,17,0.5701
8,16,0.5701
8,15,0.5701
8,14,0.5701
8,13,0.5701
8,12,0.5701
8,11,0.5701
8,10,0.57
8,9,0.5702
8,8,0.5703
8,7,0.5703
8,6,0.5691
8,5,0.5698
8,4,0.5702
8,3,0.5644
8,2,0.5326
7,23,0.5701
7,22,0.5701
7,21,0.5701
7,20,0.5701
7,19,0.5701
7,18,0.5701
7,17,0.5701
7,16,0.5701
7,15,0.5701
7,14,0.5701
7,13,0.5701
7,12,0.5701
7,11,0.5701
7,10,0.57
7,9,0.5702
7,8,0.5703
7,7,0.5703
7,6,0.5691
7,5,0.5698
7,4,0.5702
7,3,0.5644
7,2,0.5326
6,23,0.5701
6,22,0.5701
6,21,0.5701
6,20,0.5701
6,19,0.5701
6,18,0.5701
6,17,0.5701
6,16,0.5701
6,15,0.5701
6,14,0.5701
6,13,0.5701
6,12,0.5701
6,11,0.5701
6,10,0.57
6,9,0.5702
6,8,0.5703
6,7,0.5703
6,6,0.5691
6,5,0.5698
6,4,0.5702
6,3,0.5644
6,2,0.5326
5,23,0.5701
5,22,0.5701
5,21,0.5701
5,20,0.5701
5,19,0.5701
5,18,0.5701
5,17,0.5701
5,16,0.5701
5,15,0.5701
5,14,0.5701
5,13,0.5701
5,12,0.5701
5,11,0.5701
5,10,0.57
5,9,0.5702
5,8,0.5704
5,7,0.5703
5,6,0.5691
5,5,0.5698
5,4,0.5702
5,3,0.5644
5,2,0.5326
4,23,0.5701
4,22,0.5701
4,21,0.5701
4,20,0.5701
4,19,0.5701
4,18,0.5701
4,17,0.5701
4,16,0.5701
4,15,0.5701
4,14,0.5701
4,13,0.5701
4,12,0.5701
4,11,0.5701
4,10,0.57
4,9,0.5703
4,8,0.5703
4,7,0.5703
4,6,0.5692
4,5,0.5701
4,4,0.5695
4,3,0.5655
4,2,0.5332
3,23,0.5701
3,22,0.5701
3,21,0.5701
3,20,0.5701
3,19,0.5701
3,18,0.5701
3,17,0.5701
3,16,0.5701
3,15,0.5701
3,14,0.57
3,13,0.57
3,12,0.5701
3,11,0.5702
3,10,0.5701
3,9,0.5703
3,8,0.5692
3,7,0.5706
3,6,0.5703
3,5,0.5668
3,4,0.5627
3,3,0.505
3,2,0.4251
2,23,0.5701
2,22,0.5701
2,21,0.5701
2,20,0.5701
2,19,0.5701
2,18,0.5701
2,17,0.5701
2,16,0.57
2,15,0.57
2,14,0.57
2,13,0.5701
2,12,0.5703
2,11,0.5702
2,10,0.5689
2,9,0.5701
2,8,0.57
2,7,0.564
2,6,0.5657
2,5,0.5117
2,4,0.4679
2,3,0.0195
2,2,0.01
