arg_1,arg_2,acc
4,32,0.5701
4,31,0.5701
4,30,0.5701
4,29,0.5701
4,28,0.5701
4,27,0.5701
4,26,0.5701
4,25,0.5701
4,24,0.5701
4,23,0.5701
4,22,0.5701
4,21,0.5701
4,20,0.57
4,19,0.5702
4,18,0.57
4,17,0.57
4,16,0.5697
4,15,0.5693
4,14,0.5687
4,13,0.5683
4,12,0.5635
4,11,0.5502
4,10,0.5014
4,9,0.3315
4,8,0.072
3,32,0.5699
3,31,0.5699
3,30,0.5699
3,29,0.5699
3,28,0.5699
3,27,0.5699
3,26,0.5699
3,25,0.5699
3,24,0.5699
3,23,0.5699
3,22,0.5699
3,21,0.5699
3,20,0.5699
3,19,0.5699
3,18,0.5699
3,17,0.5698
3,16,0.5697
3,15,0.5695
3,14,0.5691
3,13,0.5687
3,12,0.5664
3,11,0.5617
3,10,0.5483
3,9,0.4966
3,8,0.3229
3,7,0.07
2,32,0.01
2,31,0.01
2,30,0.01
2,29,0.01
2,28,0.01
2,27,0.01
2,26,0.01
2,25,0.01
2,24,0.01
2,23,0.01
2,22,0.01
2,21,0.01
2,20,0.01
2,19,0.01
2,18,0.01
2,17,0.01
2,16,0.01
2,15,0.01
2,14,0.01
2,13,0.01
2,12,0.01
2,11,0.01
2,10,0.01
2,9,0.01
2,8,0.01
2,7,0.01
2,6,0.01
