arg_1,arg_2,acc
4,32,0.5701
4,31,0.5701
4,30,0.5701
4,29,0.5701
4,28,0.5701
4,27,0.5701
4,26,0.5701
4,25,0.5701
4,24,0.5701
4,23,0.5701
4,22,0.5701
4,21,0.57
4,20,0.5702
4,19,0.57
4,18,0.57
4,17,0.5697
4,16,0.5693
4,15,0.5687
4,14,0.5683
4,13,0.5635
4,12,0.5502
4,11,0.5014
4,10,0.3315
4,9,0.072
4,8,0.0175
3,32,0.5701
3,31,0.5701
3,30,0.5701
3,29,0.5701
3,28,0.5701
3,27,0.5701
3,26,0.5701
3,25,0.5701
3,24,0.5701
3,23,0.5701
3,22,0.5701
3,21,0.5701
3,20,0.57
3,19,0.5702
3,18,0.57
3,17,0.57
3,16,0.5697
3,15,0.5693
3,14,0.5687
3,13,0.5683
3,12,0.5635
3,11,0.5502
3,10,0.5014
3,9,0.3315
3,8,0.072
3,7,0.0175
2,32,0.5699
2,31,0.5699
2,30,0.5699
2,29,0.5699
2,28,0.5699
2,27,0.5699
2,26,0.5699
2,25,0.5699
2,24,0.5699
2,23,0.5699
2,22,0.5699
2,21,0.5699
2,20,0.5699
2,19,0.5699
2,18,0.5699
2,17,0.5698
2,16,0.5697
2,15,0.5695
2,14,0.5691
2,13,0.5687
2,12,0.5664
2,11,0.5617
2,10,0.5483
2,9,0.4966
2,8,0.3229
2,7,0.07
2,6,0.0165
